id,image_id,category_id,iscrowd,area,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,aspect_ratio,class_name
1,0,4,0,39396,195.0,95.0,201.0,196.0,39396.0,1.026,Melanoma
2,1,4,0,59750,154.0,114.0,239.0,250.0,59750.0,0.956,Melanoma
3,2,4,0,84227,139.0,6.0,209.0,403.0,84227.0,0.519,Melanoma
4,3,4,0,58729,13.0,3.0,281.0,209.0,58729.0,1.344,Melanoma
5,4,4,0,1763,156.0,136.0,41.0,43.0,1763.0,0.953,Melanoma
6,5,3,0,17380,405.0,265.0,158.0,110.0,17380.0,1.436,Hives
7,6,4,0,12168,100.0,65.0,117.0,104.0,12168.0,1.125,Melanoma
8,7,4,0,4158,127.0,89.0,66.0,63.0,4158.0,1.048,Melanoma
9,8,3,0,76443,90.0,76.0,307.0,249.0,76443.0,1.233,Hives
10,9,2,0,83790,52.0,453.0,315.0,266.0,83790.0,1.184,Eczema
11,9,2,0,88779,101.0,38.0,293.0,303.0,88779.0,0.967,Eczema
12,10,4,0,101598,94.0,72.0,287.0,354.0,101598.0,0.811,Melanoma
13,11,4,0,806,111.0,15.0,31.0,26.0,806.0,1.192,Melanoma
14,11,4,0,576,14.0,12.0,24.0,24.0,576.0,1.0,Melanoma
15,11,4,0,462,116.0,159.0,22.0,21.0,462.0,1.048,Melanoma
16,11,4,0,702,254.0,78.0,27.0,26.0,702.0,1.038,Melanoma
17,11,4,0,1287,255.0,21.0,39.0,33.0,1287.0,1.182,Melanoma
18,11,4,0,360,180.0,106.0,18.0,20.0,360.0,0.9,Melanoma
19,11,4,0,221,247.0,209.0,17.0,13.0,221.0,1.308,Melanoma
20,11,4,0,644,62.0,153.0,23.0,28.0,644.0,0.821,Melanoma
21,12,3,0,76362,173.0,49.0,429.0,178.0,76362.0,2.41,Hives
22,13,4,0,156695,123.0,34.0,385.0,407.0,156695.0,0.946,Melanoma
23,14,4,0,22632,43.0,34.0,164.0,138.0,22632.0,1.188,Melanoma
24,15,4,0,5512,101.0,55.0,106.0,52.0,5512.0,2.038,Melanoma
25,16,1,0,18532,234.0,352.0,226.0,82.0,18532.0,2.756,ChickenPox
26,16,1,0,9052,326.0,499.0,124.0,73.0,9052.0,1.699,ChickenPox
27,17,4,0,29964,157.0,167.0,227.0,132.0,29964.0,1.72,Melanoma
28,18,3,0,110554,0.0,247.0,662.0,167.0,110554.0,3.964,Hives
29,18,3,0,82524,85.0,70.0,529.0,156.0,82524.0,3.391,Hives
30,19,4,0,77861,147.0,71.0,227.0,343.0,77861.0,0.662,Melanoma
31,20,4,0,21168,52.0,77.0,189.0,112.0,21168.0,1.688,Melanoma
32,21,4,0,28000,104.0,113.0,160.0,175.0,28000.0,0.914,Melanoma
33,22,3,0,137608,13.0,7.0,412.0,334.0,137608.0,1.234,Hives
34,23,4,0,2640,77.0,25.0,44.0,60.0,2640.0,0.733,Melanoma
35,24,4,0,49841,158.0,132.0,197.0,253.0,49841.0,0.779,Melanoma
36,25,3,0,58292,45.0,99.0,494.0,118.0,58292.0,4.186,Hives
37,26,1,0,381728,0.0,0.0,604.0,632.0,381728.0,0.956,ChickenPox
38,27,4,0,31752,27.0,316.0,162.0,196.0,31752.0,0.827,Melanoma
39,28,4,0,20640,64.0,43.0,160.0,129.0,20640.0,1.24,Melanoma
40,29,2,0,106488,379.0,26.0,261.0,408.0,106488.0,0.64,Eczema
41,29,2,0,130339,85.0,22.0,289.0,451.0,130339.0,0.641,Eczema
42,30,1,0,824418,0.0,0.0,1134.0,727.0,824418.0,1.56,ChickenPox
43,31,2,0,123246,90.0,385.0,369.0,334.0,123246.0,1.105,Eczema
44,31,2,0,94944,80.0,77.0,344.0,276.0,94944.0,1.246,Eczema
45,32,4,0,8832,113.0,79.0,96.0,92.0,8832.0,1.043,Melanoma
46,33,4,0,65286,250.0,55.0,234.0,279.0,65286.0,0.839,Melanoma
47,34,2,0,108108,334.0,77.0,286.0,378.0,108108.0,0.757,Eczema
48,35,4,0,8188,77.0,81.0,92.0,89.0,8188.0,1.034,Melanoma
49,36,2,0,198690,146.0,101.0,555.0,358.0,198690.0,1.55,Eczema
50,37,3,0,100128,113.0,2.0,298.0,336.0,100128.0,0.887,Hives
51,38,3,0,72924,100.0,123.0,354.0,206.0,72924.0,1.718,Hives
