id,license,file_name,height,width,date_captured,extra,file_path,label
0,1,v-melanocytic-nevi-91_jpg.rf.0XaCCn1Wg0vuqEShnshe.jpg,472,720,2026-05-25T11:37:05+00:00,{'name': 'v-melanocytic-nevi-91.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\v-melanocytic-nevi-91_jpg.rf.0XaCCn1Wg0vuqEShnshe.jpg,Melanoma
1,1,ISIC_6662566_jpg.rf.n8HUMPCJctjH6RN0cvgU.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6662566.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6662566_jpg.rf.n8HUMPCJctjH6RN0cvgU.jpg,Melanoma
2,1,ISIC_6661904_jpg.rf.lxlr3OO8LQUzjsF8lP7U.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6661904.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6661904_jpg.rf.lxlr3OO8LQUzjsF8lP7U.jpg,Melanoma
3,1,9_231_jpg.rf.1LBxuluhRg6fSbzfIi5K.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_231.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_231_jpg.rf.1LBxuluhRg6fSbzfIi5K.jpg,Melanoma
4,1,9_196_jpg.rf.qHbwLWZXeLV5GryOXSnf.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_196.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_196_jpg.rf.qHbwLWZXeLV5GryOXSnf.jpg,Melanoma
5,1,t-PUPPP-1_jpg.rf.YT3sWjgIgpEIUOtLe1OY.jpg,480,720,2026-05-25T11:37:05+00:00,{'name': 't-PUPPP-1.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-PUPPP-1_jpg.rf.YT3sWjgIgpEIUOtLe1OY.jpg,Hives
6,1,9_275_jpg.rf.1TsTSnGoLaNFqYzOCzDq.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_275.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_275_jpg.rf.1TsTSnGoLaNFqYzOCzDq.jpg,Melanoma
7,1,9_213_jpg.rf.1RboPazmAk2r2NqiAfGF.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_213.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_213_jpg.rf.1RboPazmAk2r2NqiAfGF.jpg,Melanoma
8,1,t-PUPPP-25_jpg.rf.aL0IboxPTsAHm6nccKfc.jpg,720,473,2026-05-25T11:37:05+00:00,{'name': 't-PUPPP-25.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-PUPPP-25_jpg.rf.aL0IboxPTsAHm6nccKfc.jpg,Hives
9,1,t-eczema-fingertips-78_jpg.rf.N8gxWJRcco79AVwvt1t7.jpg,720,477,2026-05-25T11:37:05+00:00,{'name': 't-eczema-fingertips-78.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-eczema-fingertips-78_jpg.rf.N8gxWJRcco79AVwvt1t7.jpg,Eczema
10,1,ISIC_6657600_jpg.rf.qkYCftI3gmZwmm0dnS06.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6657600.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6657600_jpg.rf.qkYCftI3gmZwmm0dnS06.jpg,Melanoma
11,1,9_259_jpg.rf.7ZuQKpZcM88oXoKB657B.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_259.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_259_jpg.rf.7ZuQKpZcM88oXoKB657B.jpg,Melanoma
12,1,t-Urticaria-Vasculitis-10_jpg.rf.YjlWLvbx2fMsdfKG8VmC.jpg,488,720,2026-05-25T11:37:05+00:00,{'name': 't-Urticaria-Vasculitis-10.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-Urticaria-Vasculitis-10_jpg.rf.YjlWLvbx2fMsdfKG8VmC.jpg,Hives
13,1,v-melanocytic-nevi-94_jpg.rf.sNC1KpWcHdSOilo5VfIv.jpg,500,720,2026-05-25T11:37:05+00:00,{'name': 'v-melanocytic-nevi-94.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\v-melanocytic-nevi-94_jpg.rf.sNC1KpWcHdSOilo5VfIv.jpg,Melanoma
14,1,9_160_jpg.rf.8A8y6tpj83RFGilJFUXK.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_160.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_160_jpg.rf.8A8y6tpj83RFGilJFUXK.jpg,Melanoma
15,1,9_109_jpg.rf.toYrVXcjHRxAwEMD6lBq.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_109.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_109_jpg.rf.toYrVXcjHRxAwEMD6lBq.jpg,Melanoma
16,1,baby-chicken-pox-25618998_jpg.rf.GCvsEeQEbFQeW6sMBd5r.jpg,900,638,2026-05-25T11:37:05+00:00,{'name': 'baby-chicken-pox-25618998.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\baby-chicken-pox-25618998_jpg.rf.GCvsEeQEbFQeW6sMBd5r.jpg,ChickenPox
17,1,ISIC_6655888_jpg.rf.uejiKruP390DA1xutkr5.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6655888.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6655888_jpg.rf.uejiKruP390DA1xutkr5.jpg,Melanoma
18,1,t-Urticaria-Vasculitis-1_jpg.rf.TT0suxurAPUIRXKlM6Lp.jpg,472,720,2026-05-25T11:37:05+00:00,{'name': 't-Urticaria-Vasculitis-1.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-Urticaria-Vasculitis-1_jpg.rf.TT0suxurAPUIRXKlM6Lp.jpg,Hives
19,1,ISIC_6665364_jpg.rf.o96xacFOMBI2WASa9laz.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6665364.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6665364_jpg.rf.o96xacFOMBI2WASa9laz.jpg,Melanoma
20,1,9_289_jpg.rf.4z0E5aODQTOMBZU4RiWn.jpg,222,294,2026-05-25T11:37:05+00:00,{'name': '9_289.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\9_289_jpg.rf.4z0E5aODQTOMBZU4RiWn.jpg,Melanoma
21,1,ISIC_6661691_jpg.rf.qMd49FJ5mqtVKkUYodQ5.jpg,512,512,2026-05-25T11:37:05+00:00,{'name': 'ISIC_6661691.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\ISIC_6661691_jpg.rf.qMd49FJ5mqtVKkUYodQ5.jpg,Melanoma
22,1,t-Urticaria-Vasculitis-15_jpg.rf.bWc8jy98ZKG3ditOJuKl.jpg,720,474,2026-05-25T11:37:05+00:00,{'name': 't-Urticaria-Vasculitis-15.jpg'},Skin_desease_(Perbaikan)_dataset.coco\train\t-Urticaria-Vasculitis-15_jpg.rf.bWc8jy98ZKG3ditOJuKl.jpg,Hives
